Kind,Identifier,Common Facet,Leaf Term
1,13597,"Document, Memorabilia, Souvenir, Souvenir Spoon",Souvenir Spoon
1,13578,"Document, Memorabilia, Time Capsule",Time Capsule
1,13731,"Document, Microform",Microform
1,13732,"Document, Microform, Microfiche",Microfiche
1,13733,"Document, Microform, Microfilm",Microfilm
1,13734,"Document, Model",Model
1,13737,"Document, Model, Architect's Model",Architect's Model
1,13735,"Document, Model, Diorama",Diorama
1,13736,"Document, Model, Diorama, Automata Diorama",Automata Diorama
1,13738,"Document, Model, Half Model",Half Model
1,13739,"Document, Model, Instructional Model",Instructional Model
1,13742,"Document, Model, Miniature Room",Miniature Room
1,13740,"Document, Model, Patent Model",Patent Model
1,13741,"Document, Model, Topographic Model",Topographic Model
1,13743,"Document, Note",Note
1,13744,"Document, Note, Field Note",Field Note
1,13599,"Document, Other Documents",Other Documents
1,13745,"Document, Pamphlet",Pamphlet
1,13746,"Document, Permission",Permission
1,13747,"Document, Permission, Commission",Commission
1,13748,"Document, Permission, License",License
1,13749,"Document, Permission, License, Animal License",Animal License
1,13750,"Document, Permission, License, Occupational License",Occupational License
1,13753,"Document, Permission, License, Registration",Registration
1,13751,"Document, Permission, License, Sporting License",Sporting License
1,13752,"Document, Permission, License, Transportation License",Transportation License
1,13754,"Document, Permission, Permit",Permit
1,13755,"Document, Permission, Permit, Building Permit",Building Permit
1,13756,"Document, Permission, Permit, Business Permit",Business Permit
1,13757,"Document, Permission, Permit, Interment Permit",Interment Permit
1,13758,"Document, Permission, Prescription",Prescription
1,13447,"Document, Pictograph",Pictograph
1,13765,"Document, Pledge",Pledge
1,13766,"Document, Pledge, Pledge Card",Pledge Card
1,13767,"Document, Pledge, Pledge Sheet",Pledge Sheet
1,13310,"Document, Press Kit",Press Kit
1,13312,"Document, Proclamation",Proclamation
1,13768,"Document, Program",Program
1,13769,"Document, Program, Concert Program",Concert Program
1,13770,"Document, Program, Dance Program",Dance Program
1,13771,"Document, Program, Theater Program",Theater Program
1,13470,"Document, Projection",Projection
1,13471,"Document, Projection, Architectural Drawing",Architectural Drawing
